Date, O_Connell_St_Outside_Clerys,IN,OUT
16/08/2015,15946,7653,8293
17/08/2015,18415,7911,10504
18/08/2015,17320,7540,9780
19/08/2015,12775,6100,6675
20/08/2015,16886,8304,8582
21/08/2015,17750,8535,9215
22/08/2015,12699,6274,6425
23/08/2015,5366,2898,2468
24/08/2015,17016,7646,9370
25/08/2015,13349,6675,6674
26/08/2015,15110,7324,7786
27/08/2015,18353,8373,9980
28/08/2015,18784,8740,10044
29/08/2015,,,
30/08/2015,,,
31/08/2015,,,
01/09/2015,,,
02/09/2015,,,
03/09/2015,,,
04/09/2015,,,
05/09/2015,,,
06/09/2015,,,
07/09/2015,,,
08/09/2015,,,
09/09/2015,,,
10/09/2015,,,
11/09/2015,14328,7281,7047
12/09/2015,16843,8147,8696
13/09/2015,11375,5924,5451
14/09/2015,14879,6949,7930
15/09/2015,18442,7827,10615
16/09/2015,19521,9043,10478
17/09/2015,18064,8169,9895
18/09/2015,25384,10021,15363
19/09/2015,17666,8201,9465
20/09/2015,17321,9226,8095
21/09/2015,16818,8039,8779
22/09/2015,15842,6719,9123
23/09/2015,17805,8315,9490
24/09/2015,17766,8144,9622
25/09/2015,21712,9201,12511
26/09/2015,18740,8262,10478
27/09/2015,13949,6649,7300
28/09/2015,18526,8399,10127
29/09/2015,18164,7951,10213
30/09/2015,16980,7838,9142
01/10/2015,19797,8772,11025
02/10/2015,18476,8180,10296
03/10/2015,16452,7174,9278
04/10/2015,13695,6593,7102
05/10/2015,15368,7812,7556
06/10/2015,17152,8211,8941
07/10/2015,18017,7752,10265
08/10/2015,20485,9031,11454
09/10/2015,16922,10792,6130
10/10/2015,17180,8263,8917
11/10/2015,14025,6651,7374
12/10/2015,17410,7490,9920
13/10/2015,17168,7960,9208
14/10/2015,19418,9242,10176
15/10/2015,19225,8633,10592
16/10/2015,19860,8820,11040
17/10/2015,17431,7811,9620
18/10/2015,12596,6113,6483
19/10/2015,17818,8161,9657
20/10/2015,15521,8079,7442
21/10/2015,15785,7592,8193
22/10/2015,18468,8798,9670
23/10/2015,21157,10245,10912
24/10/2015,15526,6884,8642
25/10/2015,14725,7389,7336
26/10/2015,8556,4700,3856
27/10/2015,10104,5217,4887
28/10/2015,18436,9022,9414
29/10/2015,21124,10022,11102
30/10/2015,20620,10331,10289
31/10/2015,18445,8059,10386
01/11/2015,13016,6356,6660
02/11/2015,16523,7677,8846
03/11/2015,16991,8194,8797
04/11/2015,18962,8602,10360
05/11/2015,18336,9009,9327
06/11/2015,20820,10196,10624
07/11/2015,15883,7525,8358
08/11/2015,9024,4726,4298
09/11/2015,14664,7512,7152
10/11/2015,17318,8247,9071
11/11/2015,15097,7509,7588
12/11/2015,16795,8226,8569
13/11/2015,18233,8771,9462
14/11/2015,10369,5357,5012
15/11/2015,11521,5756,5765
16/11/2015,17375,8436,8939
17/11/2015,12664,6362,6302
18/11/2015,14385,7076,7309
19/11/2015,19953,9643,10310
20/11/2015,17807,7736,10071
21/11/2015,18314,7739,10575
22/11/2015,15317,6306,9011
23/11/2015,16234,7776,8458
24/11/2015,15683,7211,8472
25/11/2015,14179,6635,7544
26/11/2015,17347,8052,9295
27/11/2015,15048,7135,7913
28/11/2015,13089,6079,7010
29/11/2015,10589,5392,5197
30/11/2015,11535,5203,6332
01/12/2015,16282,7887,8395
02/12/2015,16341,7404,8937
03/12/2015,7709,3573,4136
04/12/2015,18274,8832,9442
05/12/2015,10282,5378,4904
06/12/2015,13604,6602,7002
07/12/2015,15154,8069,7085
08/12/2015,16839,7987,8852
09/12/2015,,,
10/12/2015,,,
11/12/2015,,,
12/12/2015,,,
13/12/2015,11522,6081,5441
14/12/2015,9164,4739,4425
15/12/2015,12768,6417,6351
16/12/2015,19199,8832,10367
17/12/2015,11804,5728,6076
18/12/2015,18972,9604,9368
19/12/2015,18436,9425,9011
20/12/2015,14140,7086,7054
21/12/2015,16719,7626,9093
22/12/2015,15435,7274,8161
23/12/2015,17583,8492,9091
24/12/2015,9265,4470,4795
25/12/2015,1038,588,450
26/12/2015,3326,1485,1841
27/12/2015,11715,5383,6332
28/12/2015,8953,4712,4241
29/12/2015,11527,6067,5460
30/12/2015,11675,5722,5953
31/12/2015,13783,6336,7447
