Date,Mary_Street,IN,OUT
20/07/2015,4627,3734,893
21/07/2015,3739,3058,681
22/07/2015,4306,3492,814
23/07/2015,4691,3665,1026
24/07/2015,5216,3888,1328
25/07/2015,6275,4544,1731
26/07/2015,2810,2141,669
27/07/2015,4160,3358,802
28/07/2015,5586,4065,1521
29/07/2015,5033,3744,1289
30/07/2015,5576,4230,1346
31/07/2015,3941,3314,627
01/08/2015,6499,4770,1729
02/08/2015,3588,2793,795
03/08/2015,4791,3786,1005
04/08/2015,4086,3459,627
05/08/2015,4553,3508,1045
06/08/2015,5500,4001,1499
07/08/2015,5032,3673,1359
08/08/2015,5044,3660,1384
09/08/2015,3636,2828,808
10/08/2015,5055,4008,1047
11/08/2015,5569,4316,1253
12/08/2015,7751,5397,2354
13/08/2015,7800,5602,2198
14/08/2015,4219,3412,807
15/08/2015,4880,3718,1162
16/08/2015,3934,2832,1102
17/08/2015,7339,5176,2163
18/08/2015,6508,4784,1724
19/08/2015,4835,3767,1068
20/08/2015,5360,4076,1284
21/08/2015,5320,4322,998
22/08/2015,4586,3413,1173
23/08/2015,2265,1827,438
24/08/2015,6035,4255,1780
25/08/2015,3832,2817,1015
26/08/2015,5743,4172,1571
27/08/2015,6656,4766,1890
28/08/2015,6460,4808,1652
29/08/2015,5236,3542,1694
30/08/2015,4536,3247,1289
31/08/2015,4400,3299,1101
01/09/2015,5361,3869,1492
02/09/2015,5019,3734,1285
03/09/2015,5783,4224,1559
04/09/2015,5532,4237,1295
05/09/2015,7091,4877,2214
06/09/2015,4714,3506,1208
07/09/2015,4364,3446,918
08/09/2015,6218,4544,1674
09/09/2015,5047,3742,1305
10/09/2015,4924,3654,1270
11/09/2015,4225,3273,952
12/09/2015,5895,4522,1373
13/09/2015,4045,2987,1058
14/09/2015,4342,3224,1118
15/09/2015,6884,4833,2051
16/09/2015,5674,3957,1717
17/09/2015,5556,4160,1396
18/09/2015,6042,4581,1461
19/09/2015,6718,4812,1906
20/09/2015,3378,2607,771
21/09/2015,4813,3637,1176
22/09/2015,4770,3488,1282
23/09/2015,4926,3808,1118
24/09/2015,5801,4332,1469
25/09/2015,6392,4448,1944
26/09/2015,7749,4628,3121
27/09/2015,5644,3408,2236
28/09/2015,5805,3685,2120
29/09/2015,6044,3981,2063
30/09/2015,5064,3565,1499
01/10/2015,7144,4600,2544
02/10/2015,6669,4474,2195
03/10/2015,6216,4482,1734
04/10/2015,5492,3719,1773
05/10/2015,4726,3654,1072
06/10/2015,4255,3330,925
07/10/2015,5900,4060,1840
08/10/2015,6829,4605,2224
09/10/2015,6490,4763,1727
10/10/2015,6800,5034,1766
11/10/2015,4732,3461,1271
12/10/2015,5727,3996,1731
13/10/2015,6140,3994,2146
14/10/2015,6386,4353,2033
15/10/2015,6955,4430,2525
16/10/2015,6567,4308,2259
17/10/2015,7540,4999,2541
18/10/2015,4668,3339,1329
19/10/2015,5264,4149,1115
20/10/2015,5121,3937,1184
21/10/2015,4735,3977,758
22/10/2015,6289,4739,1550
23/10/2015,6128,4680,1448
24/10/2015,7010,5036,1974
25/10/2015,6067,4225,1842
26/10/2015,3704,2996,708
27/10/2015,4551,3679,872
28/10/2015,6734,5025,1709
29/10/2015,7979,5550,2429
30/10/2015,6711,4959,1752
31/10/2015,6594,4927,1667
01/11/2015,5249,3512,1737
02/11/2015,5327,3886,1441
03/11/2015,5492,4052,1440
04/11/2015,5376,4054,1322
05/11/2015,5346,4229,1117
06/11/2015,6102,4839,1263
07/11/2015,5791,4564,1227
08/11/2015,2890,2384,506
09/11/2015,4476,3892,584
10/11/2015,4612,4084,528
11/11/2015,4596,3827,769
12/11/2015,3276,2560,716
13/11/2015,5265,3957,1308
14/11/2015,4668,3841,827
15/11/2015,5086,4347,739
16/11/2015,5659,4375,1284
17/11/2015,3632,2989,643
18/11/2015,4554,3743,811
19/11/2015,5896,4586,1310
20/11/2015,5782,4289,1493
21/11/2015,8544,5988,2556
22/11/2015,7158,4669,2489
23/11/2015,5135,3877,1258
24/11/2015,4792,3811,981
25/11/2015,5422,4278,1144
26/11/2015,5719,4937,782
27/11/2015,4785,3818,967
28/11/2015,5842,4544,1298
29/11/2015,5413,4345,1068
30/11/2015,5141,4276,865
01/12/2015,6911,5801,1110
02/12/2015,6606,5488,1118
03/12/2015,3240,3113,127
04/12/2015,8144,6748,1396
05/12/2015,5795,5161,634
06/12/2015,6724,5358,1366
07/12/2015,5978,5100,878
08/12/2015,6021,5012,1009
09/12/2015,5167,4505,662
10/12/2015,7291,5904,1387
11/12/2015,8365,6291,2074
12/12/2015,4088,3418,670
13/12/2015,6854,5647,1207
14/12/2015,5084,4483,601
15/12/2015,5826,5082,744
16/12/2015,8692,7080,1612
17/12/2015,8548,7292,1256
18/12/2015,8904,7293,1611
19/12/2015,8794,7490,1304
20/12/2015,8620,6991,1629
21/12/2015,8281,6797,1484
22/12/2015,8154,6809,1345
23/12/2015,11220,8124,3096
24/12/2015,6912,5842,1070
25/12/2015,679,631,48
26/12/2015,3430,3057,373
27/12/2015,7022,4787,2235
28/12/2015,5367,4385,982
29/12/2015,6140,5045,1095
30/12/2015,6315,5557,758
31/12/2015,6332,5270,1062
